code,name,state,region,country,continent,Código OACI,lat_geo_point,lon_geo_point
SBJC,BELÉM,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-1.4141600132,-48.4607009888
SNLA,PARAUAPEBAS,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-6.567500114440918,-49.719444274902344
SWKC,CÁCERES,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-16.04360008239746,-57.62990188598633
SNSM,SALINÓPOLIS,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-0.6956639885902405,-47.33470153808594
SWLV,SANTO ANTÔNIO DO LEVERGER,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-15.853400230407715,-56.087398529052734
SMPB,PARAMARIBO,,,SURINAME,AMÉRICA DO SUL,,5.820310000000063,-55.16541999999998
SNFX,SÃO FÉLIX DO XINGU,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-6.6413,-51.9523
SWMW,MAUÉS,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-3.37217,-57.7248
SWVR,SINOP,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-11.906131,-55.456099
SBCP,CAMPOS DOS GOYTACAZES,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,,-21.698299408,-41.301700592
SBNM,SANTO ÂNGELO,RS,SUL,BRASIL,AMÉRICA DO SUL,,-28.2817,-54.169102
SBPP,PONTA PORÃ,MS,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-22.54960060119629,-55.702598571777344
SNMU,MUCURI,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-18.048900604248047,-39.864200592041016
SSDO,DOURADOS,MS,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-22.2019,-54.926601
SWLC,RIO VERDE,GO,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-17.8347225189209,-50.956111907958984
SBBQ,BARBACENA,MG,SUDESTE,BRASIL,AMÉRICA DO SUL,,-21.2672,-43.761101
SBMT,SÃO PAULO,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-23.5090999603,-46.6377983093
SDFR,CABO FRIO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,,-3.741244,-38.473532
SULS,"MALDONADO/PUNTA DEL ESTE, MALDONADO",,,URUGUAI,AMÉRICA DO SUL,,-34.855098724365234,-55.09429931640625
SBCZ,CRUZEIRO DO SUL,AC,NORTE,BRASIL,AMÉRICA DO SUL,,-7.59991,-72.769501
SBRB,RIO BRANCO,AC,NORTE,BRASIL,AMÉRICA DO SUL,,-9.869031,-67.893984
SBTF,TEFÉ,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-3.38294005394,-64.7240982056
SBTK,TARAUACÁ,AC,NORTE,BRASIL,AMÉRICA DO SUL,,-8.1552600860596,-70.783302307129
SBTT,TABATINGA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-4.2556700706482,-69.93579864502
SBUA,SÃO GABRIEL DA CACHOEIRA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-0.14835,-66.9855
SWBC,BARCELOS,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-0.981292,-62.919601
SWBR,BORBA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-4.4063401222229,-59.60240173339844
SWCA,CARAUARI,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-4.871520042419434,-66.89749908447266
SWEI,EIRUNEPÉ,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-6.639530181884766,-69.87979888916016
SWHT,HUMAITÁ,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-7.532120227810001,-63.072101593
SWII,SANTO ANTÔNIO DO IÇÁ,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-2.939069986343384,-69.69400024414062
SWJP,JAPURÁ,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-1.4039299488067627,-69.42379760742188
SWKO,COARI,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-4.134059906005859,-63.132598876953125
SWLB,LÁBREA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-7.278969764709473,-64.76950073242188
SWNA,NOVO ARIPUANÃ,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-5.118030071258545,-60.364898681640625
SWOB,FONTE BOA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-2.5326099395800004,-66.0831985474
SWTP,SANTA ISABEL DO RIO NEGRO,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-0.3786,-64.9923
SWNO,NOVA OLINDA DO NORTE,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-3.8877780437469482,-59.07833480834961
SBIC,ITACOATIARA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-3.1272599697113037,-58.481201171875
SWMK,SÃO GABRIEL DA CACHOEIRA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,0.6282690167427063,-66.11509704589844
SBMY,MANICORÉ,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-5.8113799095154,-61.278301239014
SWSQ,SÃO GABRIEL DA CACHOEIRA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,1.733055556,-69.38388889
SWUY,COARI,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-4.88422012329,-65.3554000854
SBYA,SÃO GABRIEL DA CACHOEIRA,AM,NORTE,BRASIL,AMÉRICA DO SUL,,0.6075000166893,-69.18579864502
SWYN,APUÍ,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-7.17287015914917,-59.839599609375
SBLJ,LAGES,SC,SUL,BRASIL,AMÉRICA DO SUL,,-27.782100677499997,-50.28150177
SBPF,PASSO FUNDO,RS,SUL,BRASIL,AMÉRICA DO SUL,,-28.243999,-52.326599
SURV,"RIVERA, RIVERA",,,URUGUAI,AMÉRICA DO SUL,,-30.974599838256836,-55.476200103759766
GVAC,ILHA DO SAL,,,CABO VERDE,ÁFRICA,,16.7414,-22.9494
2NHT,UNA,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-12.729117238158741,-38.32290150249713
SBCB,CABO FRIO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.921699523900003,-42.074298858599995
SNVB,VALENÇA,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-13.2965,-38.992401
SBAN,ANÁPOLIS,GO,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-16.2292,-48.964298
SBSC,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.9324,-43.719101
FAJS,JOHANNESBURG,,,ÁFRICA DO SUL,ÁFRICA,,-26.29575496366981,27.877010092081974
SMJP,ZANDERIJ,,,SURINAME,AMÉRICA DO SUL,,5.4528298377999995,-55.1878013611
LSZH,ZÜRICH/KLOTEN,,,SUÍÇA,EUROPA,,47.464699,8.54917
LPPT,LISBOA,,,PORTUGAL,EUROPA,,38.7813,-9.13592
SDZC,SÃO CARLOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,2.708055,-62.668889
FQMA,MAPUTO,,,MOÇAMBIQUE,ÁFRICA,,-25.920799,32.572601
SAZS,"SAN CARLOS DE BARILOCHE, RÍO NEGRO PROVINCE",,,ARGENTINA,AMÉRICA DO SUL,,-41.151199,-71.157501
EHWO,WOENSDRECHT,,,HOLANDA,EUROPA,,51.4491,4.34203
LPFR,FARO / MADEIRA AND ACORES,,,PORTUGAL,EUROPA,,37.0144004822,-7.96590995789
DGAA,ACCRA,,,GANA,ÁFRICA,,5.605189800262451,-0.16678600013256073
KSHR,"SHERIDAN, WYOMING",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,44.76919937133789,-106.9800033569336
LPPR,PORTO,,,PORTUGAL,EUROPA,,41.2481002808,-8.68138980865
LEPA,ISLAS BALEARES,,,ESPANHA,EUROPA,,39.551700592,2.73881006241
MDPC,PUNTA CANA,,,REPÚBLICA DOMINICANA,AMÉRICA CENTRAL,,18.567399978599997,-68.36340332030001
TNCA,"ORANJESTAD, ARUBA",,,ARUBA,AMÉRICA DO SUL,,12.5014,-70.015198
TNCM,PHILIPSBURG,,,ILHA DE SÃO MARTINHO,AMÉRICA CENTRAL,,18.041000366200002,-63.1088981628
SSVI,VIDEIRA,SC,SUL,BRASIL,AMÉRICA DO SUL,,-26.99970054626465,-51.14189910888672
SNIG,IGUATU,CE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-6.346640110015869,-39.293800354003906
SNOB,SOBRAL,CE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-3.67889,-40.336802
SNQD,SOUSA,PB,NORDESTE,BRASIL,AMÉRICA DO SUL,,-6.78543996811,-38.2333984375
SNTS,PATOS,PB,NORDESTE,BRASIL,AMÉRICA DO SUL,,-7.038990020751953,-37.2515983581543
SNAB,ARARIPINA,PE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-7.5867600440979,-40.535499572753906
SNQG,FLORIANO,PI,NORDESTE,BRASIL,AMÉRICA DO SUL,,-6.8463897705078125,-43.077301025390625
SNKK,CAICÓ,RN,NORDESTE,BRASIL,AMÉRICA DO SUL,,-6.439169883728027,-37.07830047607422
SNRS,RUSSAS,CE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-4.947269916534424,-38.008201599121094
SNQX,QUIXADÁ,CE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-4.97907018661499,-38.98759841918945
SDUN,ITAPERUNA,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,,-21.219299316399997,-41.8759002686
SNPD,PATOS DE MINAS,MG,SUDESTE,BRASIL,AMÉRICA DO SUL,,-18.672800064086914,-46.4911994934082
SBCC,NOVO PROGRESSO,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-9.33393955231,-54.9654006958
SBPC,POÇOS DE CALDAS,MG,SUDESTE,BRASIL,AMÉRICA DO SUL,,-21.843000411987,-46.567901611328
SBAV,TEODORO SAMPAIO,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.5256004333,-52.9721984863
SDOU,OURINHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.96649932861328,-49.913299560546875
SBTL,TELÊMACO BORBA,PR,SUL,BRASIL,AMÉRICA DO SUL,,-24.317801,-50.6516
SBGM,GUAJARÁ-MIRIM,RO,NORTE,BRASIL,AMÉRICA DO SUL,,-10.786399841308594,-65.28479766845703
SWCQ,COSTA MARQUES,RO,NORTE,BRASIL,AMÉRICA DO SUL,,-12.421099662780762,-64.25160217285156
SWFJ,FEIJÓ,AC,NORTE,BRASIL,AMÉRICA DO SUL,,-8.16558,-70.352997
KORD,"CHICAGO, ILLINOIS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,41.9786,-87.9048
EGLL,"LONDON, ENGLAND",,,REINO UNIDO,EUROPA,,51.4706,-0.461941
EKCH,KASTRUP NEAR COPENHAGEN,,,ILHAS FEROÉ,EUROPA,,55.617900848389,12.656000137329
KLAS,"LAS VEGAS, NEVADA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,36.08010101,-115.1520004
MMAA,ACAPULCO/GEN.JUAN ALVAREZ,,,MÉXICO,AMÉRICA DO NORTE,,16.757099151611328,-99.75399780273438
RJNN,ARPT DE NAGOYA,,,JAPÃO,ÁSIA,,35.181420470000035,136.90668338000012
SLLP,LA PAZ,,,BOLÍVIA,AMÉRICA DO SUL,,-16.5132999420166,-68.19229888916016
SUPE,"MALDONADO/PUNTA DEL ESTE, MALDONADO",,,URUGUAI,AMÉRICA DO SUL,,-34.9169998169,-54.916999816899995
SKCL,CALI,,,COLÔMBIA,AMÉRICA DO SUL,,3.54322,-76.3816
GCLP,LAS PALMAS,,,ILHAS CANÁRIAS,ÁFRICA,,27.931900024414062,-15.38659954071045
EDDM,MUNICH,,,ALEMANHA,EUROPA,,48.353802,11.7861
PANC,"ANCHORAGE, ALASKA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,61.174400329589844,-149.99600219726562
KADW,"CAMP SPRINGS, MARYLAND",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,38.810799,-76.866997
SVMG,"PORLAMAR, ISLA MARGARITA",,,VENEZUELA,AMÉRICA DO SUL,,10.912603378295898,-63.96659851074219
MUCM,CAMAGUEY,,,CUBA,AMÉRICA CENTRAL,,21.420299530029297,-77.84750366210938
SPSO,"PISCO, ICA REGION",,,PERU,AMÉRICA DO SUL,,-13.74489974975586,-76.22029876708984
KFLL,"FORT LAUDERDALE/HOLLYWOOD, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,26.072599,-80.152702
KOSC,OSCODA WURTSMITH,,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,44.451599,-83.394096
KPBI,"WEST PALM BEACH, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,26.68320083618164,-80.09559631347656
EBBB,BRUXELAS,,,BÉLGICA,EUROPA,,50.83202000000006,4.3517400000000634
LEBL,BARCELONA,,,ESPANHA,EUROPA,,41.2971,2.07846
SELT,LATACUNGA,,,EQUADOR,AMÉRICA DO SUL,,-0.906833,-78.615799
SARO,ITUZAINGO,,,ARGENTINA,AMÉRICA DO SUL,,-27.5261001587,-56.6333007812
SBMM,JAÍBA,MG,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.357200622558594,-40.090599060058594
SSPK,PORECATU,PR,SUL,BRASIL,AMÉRICA DO SUL,,-22.778799057006836,-51.36140060424805
CYUL,"MONTREAL, QUEBEC",,,CANADÁ,AMÉRICA DO NORTE,,45.4706001282,-73.7407989502
KIAD,"WASHINGTON, DC",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,38.94449997,-77.45580292
SARI,"PUERTO IGUAZÚ, MISIONES PROVINCE",,,ARGENTINA,AMÉRICA DO SUL,,-25.737301,-54.4734
SEQM,QUITO,,,EQUADOR,AMÉRICA DO SUL,,-0.129166666667,-78.3575
EDFH,RHINELAND-PALATINATE,,,ALEMANHA,EUROPA,,49.9487,7.26389
SKBQ,BARRANQUILLA,,,COLÔMBIA,AMÉRICA DO SUL,,10.8896,-74.7808
KMCN,"MACON, GEORGIA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,32.69279861450195,-83.64920043945312
MTPP,PORT-DE-PAIX,,,HAITI,AMÉRICA CENTRAL,,18.579999923706055,-72.2925033569336
SBAC,ARACATI,CE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-4.568611,-37.804722
SBAE,AREALVA,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.15778,-49.06833
SBCN,CALDAS NOVAS,GO,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-17.725299835205,-48.607498168945
SBDB,BONITO,MS,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-21.2473,-56.4525
SBDO,DOURADOS,MS,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-22.22856901507285,-54.73851941940339
SBGV,GOVERNADOR VALADARES,MG,SUDESTE,BRASIL,AMÉRICA DO SUL,,-18.89520072937,-41.982200622559
SBJE,CRUZ,CE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-3.748169999999959,-38.448519999999974
SBRD,RONDONÓPOLIS,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-16.46586999999994,-54.62233999999995
SBSG,SÃO GONÇALO DO AMARANTE,RN,NORDESTE,BRASIL,AMÉRICA DO SUL,,-5.768056,-35.376111
SBSI,SINOP,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-15.642259999999965,-56.12584999999996
SBSO,SORRISO,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-12.479177,-55.672341
SBVC,VITÓRIA DA CONQUISTA,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-14.845117237443073,-40.82990909576193
SBZM,GOIANÁ,MG,SUDESTE,BRASIL,AMÉRICA DO SUL,,-21.513086,-43.173069
KGUS,"PERU, INDIANA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,40.648101806599996,-86.1520996094
MGGT,GUATEMALA/LA AURORA,,,GUATEMALA,AMÉRICA CENTRAL,,14.5833,-90.527496
SBTG,TRÊS LAGOAS,MS,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-20.767124949846014,-51.73178989520845
SBJA,JAGUARUNA,SC,SUL,BRASIL,AMÉRICA DO SUL,,-28.6753,-49.0596
TJSJ,SAN JUAN,,,PORTO RICO,AMÉRICA CENTRAL,,18.4393997192,-66.0018005371
EBBR,BRUSSELS/ZAVENTEM,,,BÉLGICA,EUROPA,,50.901401519800004,4.48443984985
KROW,"ROSWELL, NEW MEXICO",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,33.301601,-104.530998
MNMG,MANAGUA,,,NICARÁGUA,AMÉRICA CENTRAL,,12.141500473022461,-86.16819763183594
SPJC,"CALLAO/LIMA, LIMA METROPOLITAN AREA",,,PERU,AMÉRICA DO SUL,,-12.05612999999994,-77.02678999999995
EDHI,HAMBURG,,,ALEMANHA,EUROPA,,53.5352783203125,9.835556030273438
LPAR,ALVERCA,,,PORTUGAL,EUROPA,,38.883301,-9.0301
SLCB,COCHABAMBA,,,BOLÍVIA,AMÉRICA DO SUL,,-17.421100616455078,-66.1771011352539
ELLX,LUXEMBOURG CITY,,,LUXEMBURGO,EUROPA,,49.6233333,6.2044444
KAEX,"ALEXANDRIA, LOUISIANA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,31.32740020751953,-92.54979705810547
OMAA,AB DHABI INTERNATIONAL,,,EMIRADOS ÁRABES UNIDOS,ÁSIA,,24.433000564575195,54.651100158691406
VOHS,"HYDERABAD, INDIA",,,ÍNDIA,ÁSIA,,17.231318,78.429855
VHHH,CHEK LAP KOK,,,HONG KONG,ÁSIA,,22.308901,113.915001
DNMM,"IKEJA,  LAGOS STATE",,,NIGÉRIA,ÁFRICA,,6.5773701667785645,3.321160078048706
FKKD,DOUALA,,,CAMARÕES,ÁFRICA,,4.0060801506,9.719479560849999
HAAB,ADDIS ABABA,,,ETIÓPIA,ÁFRICA,,8.97789001465,38.799301147499996
EBLG,LIÈGE,,,BÉLGICA,EUROPA,,50.63740158081055,5.443220138549805
FOOL,LIBREVILLE,,,GABÃO,ÁFRICA,,0.458600014448,9.412280082699999
SVSO,SANTO DOMINGO,,,VENEZUELA,AMÉRICA DO SUL,,7.56538,-72.035103
SVBM,BARQUISIMETO,,,VENEZUELA,AMÉRICA DO SUL,,10.042746543884277,-69.3586196899414
TJBQ,AQUADILLA BORINQUEN,,,PORTO RICO,AMÉRICA CENTRAL,,18.49489974975586,-67.12940216064453
MROC,SAN JOSE/JUAN SANTAMARIA,,,COSTA RICA,AMÉRICA CENTRAL,,9.993860244750977,-84.20880126953125
LATI,TIRANA,,,ALBÂNIA,EUROPA,,41.4146995544,19.7206001282
UAAA,ALMATY,,,CAZAQUISTÃO,ÁSIA,,43.35210037231445,77.04049682617188
KBFI,"SEATTLE, WASHINGTON",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,47.529998779296875,-122.302001953125
KSTL,"ST. LOUIS, MISSOURI",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,38.748697,-90.370003
RKSI,INCHEON (NEAR SEOUL),,,COREIA DO SUL,ÁSIA,,37.46910095214844,126.45099639892578
SKLT,LETICIA,,,COLÔMBIA,AMÉRICA DO SUL,,-4.19355,-69.9432
SCCF,CALAMA,,,CHILE,AMÉRICA DO SUL,,-22.498199462890625,-68.90360260009766
SCDA,IQUIQUE,,,CHILE,AMÉRICA DO SUL,,-20.535200119018555,-70.1812973022461
YSSY,"MASCOT, NEW SOUTH WALES",,,AUSTRÁLIA,OCEANIA,,-33.94609832763672,151.177001953125
SDSC,SÃO CARLOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-21.875401,-47.903703
EGSS,"LONDON, ENGLAND",,,REINO UNIDO,EUROPA,,51.8849983215,0.234999999404
GVNP,CABO VERDE,,,CABO VERDE,ÁFRICA,,14.924500465393066,-23.493499755859375
SKRG,MEDELLÍN/RIONEGRO,,,COLÔMBIA,AMÉRICA DO SUL,,6.16454,-75.4231
SDMC,MARICÁ,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,,-22.9195,-42.830898
SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-15.861300468400001,-52.3889007568
SBJD,JUNDIAÍ,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-23.180369,-46.944408
SDIM,ITANHAÉM,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,,-24.164722442626953,-46.78555679321289
SDTK,PARATY,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,,-23.224044,-44.723357
SJHG,CONFRESA,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-10.634400367736816,-51.5635986328125
SNGA,GUARAPARI,ES,SUDESTE,BRASIL,AMÉRICA DO SUL,,-20.646499633800005,-40.491901397700005
SNHS,SERRA TALHADA,PE,NORDESTE,BRASIL,AMÉRICA DO SUL,,-8.0623998642,-38.3288002014
SNMA,MONTE ALEGRE,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-1.9958000183105469,-54.07419967651367
SNRJ,BREJO,MA,NORDESTE,BRASIL,AMÉRICA DO SUL,,-3.6669440269470215,-42.83388900756836
SNYA,ALMEIRIM,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-1.4919439554214478,-52.57833480834961
SSCN,CANELA,RS,SUL,BRASIL,AMÉRICA DO SUL,,-29.37019920349121,-50.832000732421875
SSOU,ARIPUANÃ,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-17.036942,-46.260277
SSTE,TORRES,RS,SUL,BRASIL,AMÉRICA DO SUL,,-29.23417999999998,-51.32977999999997
SWHP,ÁGUA BOA,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-14.019444,-52.152222
SDWQ,ALENQUER,PA,NORTE,BRASIL,AMÉRICA DO SUL,,-1.9409199999999487,-54.73634999999996
SBUY,COARI,AM,NORTE,BRASIL,AMÉRICA DO SUL,,-3.1257932649153406,-60.03619088350898
SBPG,PONTA GROSSA,PR,SUL,BRASIL,AMÉRICA DO SUL,,-25.085599999999943,-50.178699999999935
ZGSZ,"SHENZHEN, GUANGDONG",,,CHINA,ÁSIA,,22.639299392700195,113.81099700927734
EDDK,COLOGNE/BONN,,,ALEMANHA,EUROPA,,50.8658981323,7.1427397728
HKJK,NAIROBI,,,QUÊNIA,ÁFRICA,,-1.31923997402,36.9277992249
VCBI,COLOMBO,,,SRI LANKA,ÁSIA,,7.180759906768799,79.88410186767578
VMMC,TAIPA,,,MACAU,ÁSIA,,22.149599,113.592003
UCFM,BISHKEK,,,QUIRGUISTÃO,ÁSIA,,42.884340000000066,74.60354000000007
FYWH,WINDHOEK,,,NAMÍBIA,ÁFRICA,,-22.4799,17.4709
GUCY,CONAKRY/GBESSIA,,,GUINÉ,ÁFRICA,,9.57689,-13.612
OEJN,JEDDAH,,,ARÁBIA SAUDITA,ÁSIA,,21.6796,39.156502
OTHH,DOHA,,,QATAR,ÁSIA,,25.273056,51.608056
EHBK,BEEK,,,HOLANDA,EUROPA,,50.911701,5.77014
LEZG,ZARAGOZA,,,ESPANHA,EUROPA,,41.66619873046875,-1.0415500402450562
SDNM,NOVA MUTUM,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-22.447500228881836,-43.128334045410156
SILC,LUCAS DO RIO VERDE,MT,CENTRO-OESTE,BRASIL,AMÉRICA DO SUL,,-13.037861,-55.95025
SYCJ,GEORGETOWN,,,GUIANA,AMÉRICA DO SUL,,6.498549938201904,-58.25410079956055
KBOS,"BOSTON, MASSACHUSETTS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,42.36429977,-71.00520325
ZBAA,BEIJING,,,CHINA,ÁSIA,,40.080101013183594,116.58499908447266
LMML,LUQA,,,MALTA,EUROPA,,35.857498,14.4775
LKMT,OSTRAVA,,,REPÚBLICA TCHECA,EUROPA,,49.6963005065918,18.111099243164062
SYEC,OGLE,,,GUIANA,AMÉRICA DO SUL,,-14.604849999999942,-57.65624999999994
GOBD,DAKAR,,,SENEGAL,ÁFRICA,,14.67,-17.073333
LTFM,ISTANBUL,,,TURQUIA,EUROPA,,41.275278,28.751944
LTBA,ISTANBUL,,,TURQUIA,EUROPA,,40.976898,28.8146
CYLW,"KELOWNA, BRITISH COLUMBIA",,,CANADÁ,AMÉRICA DO NORTE,,49.9561004639,-119.377998352
KGTF,"GREAT FALLS, MONTANA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,,47.48199844,-111.3710022
OMDB,DUBAI INTERNATIONAL,,,EMIRADOS ÁRABES UNIDOS,ÁSIA,,25.2527999878,55.3643989563
